chr	start	end	strand	Name	fam	cat	tsd	ltr_context	terminal_branch_length	age	lineage	ltr_len	insert_len	superfam
Bd1	64091	69435	-	RLC_BdisC242_Bd1_64091	RLC_BdisC053	paired	1	three_prime_LTR-five_prime_LTR	0.006597854	0.507527230769231	Ivana	395	4557	RLC
Bd1	86603	87943	+	RLC_BdisC026_Bd1_86603	RLC_BdisC026	single	1	solo_LTR	0.01413985	1.08768076923077	SIRE	1345	6586	RLC
Bd1	88331	89674	+	RLC_BdisC026_Bd1_88331	RLC_BdisC026	single	0	solo_LTR	0.03671678	2.82436769230769	SIRE	1345	6586	RLC
Bd1	141970	142313	-	RLC_BdisC197_Bd1_141970	RLC_BdisC197	single	0	solo_LTR	0.03718	2.86	Ivana	375	4489	RLC
Bd1	214157	215485	+	RLC_BdisC030_Bd1_214157	RLC_BdisC030	single	1	solo_LTR	0.006515053	0.501157923076923	Angela	1328	5299	RLC
Bd1	329978	330271	+	RLC_BdisC088_Bd1_329978	RLC_BdisC088	single	0	solo_LTR	0.01332224	1.02478769230769	Ivana	338	4485	RLC
Bd1	571202	572527	+	RLC_BdisC030_Bd1_571202	RLC_BdisC030	single	1	solo_LTR	0.01108308	0.852544615384615	Angela	1328	5299	RLC
Bd1	721657	723008	+	RLC_BdisC024_Bd1_721657	RLC_BdisC024	single	1	solo_LTR	0.0254387	1.95682307692308	Angela	1355	5207	RLC
Bd1	1798457	1799768	-	RLC_BdisC209_Bd1_1798457	RLC_BdisC030	single	0	solo_LTR	0.01320728	1.01594461538462	Angela	1318	5304	RLC
Bd1	1853161	1853981	+	RLG_BdisC009_Bd1_1853161	RLG_BdisC009	single	1	solo_LTR	0.03798627	2.92202076923077	Retand	821	11895	RLG
Bd1	1912181	1913892	+	RLC_BdisC022_Bd1_1912181	RLC_BdisC022	single	1	solo_LTR	0.005735201	0.441169307692308	Angela	1712	5252	RLC
Bd1	2050249	2051079	+	RLG_BdisC009_Bd1_2050249	RLG_BdisC009	single	1	solo_LTR	0.04642542	3.57118615384615	Retand	821	11895	RLG
Bd1	2129656	2130586	-	RLG_BdisC011_Bd1_2129656	RLG_BdisC011	single	1	solo_LTR	0.0256522	1.97324615384615	Retand	972	12160	RLG
Bd1	2250638	2251448	-	RLG_BdisC000_Bd1_2250638	RLG_BdisC000	single	0	solo_LTR	0.02450994	1.88538	Retand	808	11884	RLG
Bd1	2262154	2263149	+	RLG_BdisC011_Bd1_2262154	RLG_BdisC011	single	0	three_prime_LTR	0.03116239	2.39710692307692	Retand	972	12160	RLG
Bd1	2271704	2272514	-	RLG_BdisC000_Bd1_2271704	RLG_BdisC000	single	1	five_prime_LTR	0.02450994	1.88538	Retand	808	11884	RLG
Bd1	2347501	2348842	-	RLC_BdisC026_Bd1_2347501	RLC_BdisC026	single	1	solo_LTR	0.01469258	1.13019846153846	SIRE	1345	6586	RLC
